region_code,id,full_name,name1,name2,name3
역삼동-6035,6035,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동
대치동-6032,6032,서울특별시 강남구 대치동,서울특별시,강남구,대치동
청담동-386,386,서울특별시 강남구 청담동,서울특별시,강남구,청담동
논현동-6031,6031,서울특별시 강남구 논현동,서울특별시,강남구,논현동
압구정동-385,385,서울특별시 강남구 압구정동,서울특별시,강남구,압구정동
삼성동-6034,6034,서울특별시 강남구 삼성동,서울특별시,강남구,삼성동
역삼1동-392,392,서울특별시 강남구 역삼1동,서울특별시,강남구,역삼1동
신사동-382,382,서울특별시 강남구 신사동,서울특별시,강남구,신사동
역삼2동-393,393,서울특별시 강남구 역삼2동,서울특별시,강남구,역삼2동
개포동-6030,6030,서울특별시 강남구 개포동,서울특별시,강남구,개포동
도곡동-6033,6033,서울특별시 강남구 도곡동,서울특별시,강남구,도곡동
논현1동-383,383,서울특별시 강남구 논현1동,서울특별시,강남구,논현1동
대치1동-389,389,서울특별시 강남구 대치1동,서울특별시,강남구,대치1동
자곡동-6038,6038,서울특별시 강남구 자곡동,서울특별시,강남구,자곡동
삼성2동-388,388,서울특별시 강남구 삼성2동,서울특별시,강남구,삼성2동
대치4동-391,391,서울특별시 강남구 대치4동,서울특별시,강남구,대치4동
일원동-6037,6037,서울특별시 강남구 일원동,서울특별시,강남구,일원동
삼성1동-387,387,서울특별시 강남구 삼성1동,서울특별시,강남구,삼성1동
대치2동-390,390,서울특별시 강남구 대치2동,서울특별시,강남구,대치2동
개포1동-396,396,서울특별시 강남구 개포1동,서울특별시,강남구,개포1동
도곡1동-394,394,서울특별시 강남구 도곡1동,서울특별시,강남구,도곡1동
논현2동-384,384,서울특별시 강남구 논현2동,서울특별시,강남구,논현2동
개포4동-398,398,서울특별시 강남구 개포4동,서울특별시,강남구,개포4동
세곡동-399,399,서울특별시 강남구 세곡동,서울특별시,강남구,세곡동
수서동-403,403,서울특별시 강남구 수서동,서울특별시,강남구,수서동
개포2동-397,397,서울특별시 강남구 개포2동,서울특별시,강남구,개포2동
개포3동-402,402,서울특별시 강남구 개포3동,서울특별시,강남구,개포3동
도곡2동-395,395,서울특별시 강남구 도곡2동,서울특별시,강남구,도곡2동
일원본동-400,400,서울특별시 강남구 일원본동,서울특별시,강남구,일원본동
일원1동-401,401,서울특별시 강남구 일원1동,서울특별시,강남구,일원1동
율현동-6036,6036,서울특별시 강남구 율현동,서울특별시,강남구,율현동
길동-448,448,서울특별시 강동구 길동,서울특별시,강동구,길동
천호동-6044,6044,서울특별시 강동구 천호동,서울특별시,강동구,천호동
상일동-434,434,서울특별시 강동구 상일동,서울특별시,강동구,상일동
성내동-6042,6042,서울특별시 강동구 성내동,서울특별시,강동구,성내동
강일동-433,433,서울특별시 강동구 강일동,서울특별시,강동구,강일동
암사동-6043,6043,서울특별시 강동구 암사동,서울특별시,강동구,암사동
둔촌동-6040,6040,서울특별시 강동구 둔촌동,서울특별시,강동구,둔촌동
고덕동-6039,6039,서울특별시 강동구 고덕동,서울특별시,강동구,고덕동
명일동-6041,6041,서울특별시 강동구 명일동,서울특별시,강동구,명일동
천호제1동-442,442,서울특별시 강동구 천호제1동,서울특별시,강동구,천호제1동
천호제3동-444,444,서울특별시 강동구 천호제3동,서울특별시,강동구,천호제3동
천호제2동-443,443,서울특별시 강동구 천호제2동,서울특별시,강동구,천호제2동
성내제2동-446,446,서울특별시 강동구 성내제2동,서울특별시,강동구,성내제2동
암사제1동-439,439,서울특별시 강동구 암사제1동,서울특별시,강동구,암사제1동
성내제3동-447,447,서울특별시 강동구 성내제3동,서울특별시,강동구,성내제3동
명일제1동-435,435,서울특별시 강동구 명일제1동,서울특별시,강동구,명일제1동
고덕제1동-437,437,서울특별시 강동구 고덕제1동,서울특별시,강동구,고덕제1동
둔촌제2동-450,450,서울특별시 강동구 둔촌제2동,서울특별시,강동구,둔촌제2동
암사제3동-441,441,서울특별시 강동구 암사제3동,서울특별시,강동구,암사제3동
성내제1동-445,445,서울특별시 강동구 성내제1동,서울특별시,강동구,성내제1동
고덕제2동-438,438,서울특별시 강동구 고덕제2동,서울특별시,강동구,고덕제2동
암사제2동-440,440,서울특별시 강동구 암사제2동,서울특별시,강동구,암사제2동
명일제2동-436,436,서울특별시 강동구 명일제2동,서울특별시,강동구,명일제2동
둔촌제1동-449,449,서울특별시 강동구 둔촌제1동,서울특별시,강동구,둔촌제1동
미아동-142,142,서울특별시 강북구 미아동,서울특별시,강북구,미아동
수유동-6046,6046,서울특별시 강북구 수유동,서울특별시,강북구,수유동
삼각산동-145,145,서울특별시 강북구 삼각산동,서울특별시,강북구,삼각산동
수유3동-151,151,서울특별시 강북구 수유3동,서울특별시,강북구,수유3동
수유2동-150,150,서울특별시 강북구 수유2동,서울특별시,강북구,수유2동
수유1동-149,149,서울특별시 강북구 수유1동,서울특별시,강북구,수유1동
삼양동-141,141,서울특별시 강북구 삼양동,서울특별시,강북구,삼양동
번동-6045,6045,서울특별시 강북구 번동,서울특별시,강북구,번동
번1동-146,146,서울특별시 강북구 번1동,서울특별시,강북구,번1동
인수동-153,153,서울특별시 강북구 인수동,서울특별시,강북구,인수동
송중동-143,143,서울특별시 강북구 송중동,서울특별시,강북구,송중동
송천동-144,144,서울특별시 강북구 송천동,서울특별시,강북구,송천동
우이동-152,152,서울특별시 강북구 우이동,서울특별시,강북구,우이동
번3동-148,148,서울특별시 강북구 번3동,서울특별시,강북구,번3동
번2동-147,147,서울특별시 강북구 번2동,서울특별시,강북구,번2동
화곡동-6057,6057,서울특별시 강서구 화곡동,서울특별시,강서구,화곡동
마곡동-6052,6052,서울특별시 강서구 마곡동,서울특별시,강서구,마곡동
명지동-5873,5873,부산광역시 강서구 명지동,부산광역시,강서구,명지동
염창동-258,258,서울특별시 강서구 염창동,서울특별시,강서구,염창동
내발산동-6050,6050,서울특별시 강서구 내발산동,서울특별시,강서구,내발산동
등촌동-6051,6051,서울특별시 강서구 등촌동,서울특별시,강서구,등촌동
방화동-6053,6053,서울특별시 강서구 방화동,서울특별시,강서구,방화동
우장산동-273,273,서울특별시 강서구 우장산동,서울특별시,강서구,우장산동
화곡제1동-262,262,서울특별시 강서구 화곡제1동,서울특별시,강서구,화곡제1동
명지1동-628,628,부산광역시 강서구 명지1동,부산광역시,강서구,명지1동
명지2동-4211,4211,부산광역시 강서구 명지2동,부산광역시,강서구,명지2동
가양동-6047,6047,서울특별시 강서구 가양동,서울특별시,강서구,가양동
화곡본동-266,266,서울특별시 강서구 화곡본동,서울특별시,강서구,화곡본동
등촌제3동-261,261,서울특별시 강서구 등촌제3동,서울특별시,강서구,등촌제3동
공항동-274,274,서울특별시 강서구 공항동,서울특별시,강서구,공항동
신호동-5881,5881,부산광역시 강서구 신호동,부산광역시,강서구,신호동
화곡제6동-267,267,서울특별시 강서구 화곡제6동,서울특별시,강서구,화곡제6동
방화제1동-275,275,서울특별시 강서구 방화제1동,서울특별시,강서구,방화제1동
화곡제8동-268,268,서울특별시 강서구 화곡제8동,서울특별시,강서구,화곡제8동
화곡제4동-265,265,서울특별시 강서구 화곡제4동,서울특별시,강서구,화곡제4동
화곡제3동-264,264,서울특별시 강서구 화곡제3동,서울특별시,강서구,화곡제3동
발산제1동-272,272,서울특별시 강서구 발산제1동,서울특별시,강서구,발산제1동
등촌제1동-259,259,서울특별시 강서구 등촌제1동,서울특별시,강서구,등촌제1동
화곡제2동-263,263,서울특별시 강서구 화곡제2동,서울특별시,강서구,화곡제2동
지사동-5884,5884,부산광역시 강서구 지사동,부산광역시,강서구,지사동
가양제1동-269,269,서울특별시 강서구 가양제1동,서울특별시,강서구,가양제1동
등촌제2동-260,260,서울특별시 강서구 등촌제2동,서울특별시,강서구,등촌제2동
방화제2동-276,276,서울특별시 강서구 방화제2동,서울특별시,강서구,방화제2동
대저2동-626,626,부산광역시 강서구 대저2동,부산광역시,강서구,대저2동
강동동-627,627,부산광역시 강서구 강동동,부산광역시,강서구,강동동
가양제3동-271,271,서울특별시 강서구 가양제3동,서울특별시,강서구,가양제3동
방화제3동-277,277,서울특별시 강서구 방화제3동,서울특별시,강서구,방화제3동
송정동-5879,5879,부산광역시 강서구 송정동,부산광역시,강서구,송정동
대저1동-625,625,부산광역시 강서구 대저1동,부산광역시,강서구,대저1동
가양제2동-270,270,서울특별시 강서구 가양제2동,서울특별시,강서구,가양제2동
화전동-5886,5886,부산광역시 강서구 화전동,부산광역시,강서구,화전동
외발산동-6056,6056,서울특별시 강서구 외발산동,서울특별시,강서구,외발산동
녹산동-630,630,부산광역시 강서구 녹산동,부산광역시,강서구,녹산동
미음동-5874,5874,부산광역시 강서구 미음동,부산광역시,강서구,미음동
개화동-6048,6048,서울특별시 강서구 개화동,서울특별시,강서구,개화동
범방동-5875,5875,부산광역시 강서구 범방동,부산광역시,강서구,범방동
가덕도동-631,631,부산광역시 강서구 가덕도동,부산광역시,강서구,가덕도동
생곡동-5877,5877,부산광역시 강서구 생곡동,부산광역시,강서구,생곡동
구랑동-5869,5869,부산광역시 강서구 구랑동,부산광역시,강서구,구랑동
가락동-629,629,부산광역시 강서구 가락동,부산광역시,강서구,가락동
성북동-5878,5878,부산광역시 강서구 성북동,부산광역시,강서구,성북동
봉림동-5876,5876,부산광역시 강서구 봉림동,부산광역시,강서구,봉림동
오곡동-6054,6054,서울특별시 강서구 오곡동,서울특별시,강서구,오곡동
식만동-5880,5880,부산광역시 강서구 식만동,부산광역시,강서구,식만동
죽동동-5882,5882,부산광역시 강서구 죽동동,부산광역시,강서구,죽동동
과해동-6049,6049,서울특별시 강서구 과해동,서울특별시,강서구,과해동
죽림동-5883,5883,부산광역시 강서구 죽림동,부산광역시,강서구,죽림동
오쇠동-6055,6055,서울특별시 강서구 오쇠동,서울특별시,강서구,오쇠동
천성동-5885,5885,부산광역시 강서구 천성동,부산광역시,강서구,천성동
눌차동-5870,5870,부산광역시 강서구 눌차동,부산광역시,강서구,눌차동
대항동-5871,5871,부산광역시 강서구 대항동,부산광역시,강서구,대항동
동선동-5872,5872,부산광역시 강서구 동선동,부산광역시,강서구,동선동
신림동-355,355,서울특별시 관악구 신림동,서울특별시,관악구,신림동
봉천동-6058,6058,서울특별시 관악구 봉천동,서울특별시,관악구,봉천동
대학동-358,358,서울특별시 관악구 대학동,서울특별시,관악구,대학동
낙성대동-345,345,서울특별시 관악구 낙성대동,서울특별시,관악구,낙성대동
난곡동-361,361,서울특별시 관악구 난곡동,서울특별시,관악구,난곡동
행운동-344,344,서울특별시 관악구 행운동,서울특별시,관악구,행운동
은천동-347,347,서울특별시 관악구 은천동,서울특별시,관악구,은천동
인헌동-349,349,서울특별시 관악구 인헌동,서울특별시,관악구,인헌동
남현동-350,350,서울특별시 관악구 남현동,서울특별시,관악구,남현동
조원동-357,357,서울특별시 관악구 조원동,서울특별시,관악구,조원동
청룡동-346,346,서울특별시 관악구 청룡동,서울특별시,관악구,청룡동
성현동-343,343,서울특별시 관악구 성현동,서울특별시,관악구,성현동
서림동-353,353,서울특별시 관악구 서림동,서울특별시,관악구,서림동
미성동-360,360,서울특별시 관악구 미성동,서울특별시,관악구,미성동
보라매동-341,341,서울특별시 관악구 보라매동,서울특별시,관악구,보라매동
